"date","avg_temp","avg_pw"
2021-05-28,-8.7,10.48
2021-05-30,9.2,10.12
2021-06-07,3.8,22.715
2021-06-08,16.6,27.395
2021-06-09,0.6,18.735
2021-06-17,4.6,21.21
2021-06-18,14.6,18.195
2021-06-19,6.4,22.18
2021-06-24,10.1,24.03
2021-06-25,7,27.135
2021-06-26,9.8,18.725
2021-07-02,10.1,29.055
2021-07-03,16,26.21
2021-07-04,11.5,27.035
2021-07-06,23,30.3
2021-07-09,12.2,23.87
2021-07-13,16.6,26.38
2021-07-14,15.1,28.595
2021-07-16,17.4,18.265
2021-07-17,18.5,19.16
2021-07-18,1.5,20.51
2021-07-19,13.2,19.42
2021-07-20,17.7,21.235
2021-07-21,13.5,32.21
2021-07-24,12.4,23.85
2021-07-29,0.5,29.81
2021-07-30,10.3,37.235
2021-08-06,8.5,27.48
2021-08-07,NA,23.075
2021-08-20,8.8,23.31
2021-08-22,NA,19.145
2021-08-27,NA,18.15
2021-09-01,NA,28.24
2021-09-20,13.2,15.465
2021-09-28,36.6,18.175
2021-09-29,NA,22.74
2021-09-30,26.7,14.74
2021-10-03,NA,11.9
2021-10-19,NA,14.25
2021-10-26,8.5,15.765
2021-10-28,NA,7.86
